CategoryID (FK)	CategoryName	ProductName	SubType	Finish	Best For (Skin Concern)	Confidence	SkinConcernTag	ProductID (PK)	Image 1 (Primary)	Image 2	Image 3
CAT-06	Cleansers	Skin By Zaron Vitamin C Brightening Body Wash	Body Wash	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-001	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Skin-By-Zaron-Vitamin-C-Brightening-Body-Wash.jpg		
CAT-06	Cleansers	Skin By Zaron Micellar Cleansing Water	Cleanser	Gentle	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-002	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Skin-By-Zaron-Micellar-Cleansing-Water.jpg		
CAT-16	Toner	Skin By Zaron Brightening Toner	Toner	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-003	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/main-product-50-1725059610365.webp		
CAT-14	Serum	Skin By Zaron Retinol Serum	Serum	Anti-ageing	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-004	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Skin-By-Zaron-Retinol-Serum.jpg		
CAT-14	Serum	Skin By Zaron Vitamin C Serum	Serum	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-005	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Skin-By-Zaron-Vitamin-Serum.jpg		
CAT-06	Cleansers	Skin By Zaron Exfoliating & Brightening Face Wash	Face Wash	Exfoliating	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-006	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/IMG-0020.webp		
CAT-06	Cleansers	Skin By Zaron Acne Control Glow Wash	Face Wash	Acne	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-007	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Skin-By-Zaron-Acne-Control-Glow-Wash.webp		
CAT-12	Moisturizer	Skin By Zaron Vitamin C Face Cream	Face cream	Brightening	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-008	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/08/1733748427.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/08/1733746622.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/08/1733748427.webp
CAT-14	Serum	Skin By Zaron 2% Alpha-Arbutin Serum	Serum	Brightening/PIH	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-009	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/08/main-product-55-1725059731924.webp		
CAT-08	Exfoliant	Skin By Zaron 7% Glycolic Acid	Exfoliant	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-010	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/08/main-product-266-1725059746055.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/08/main-product-266-1725059746055.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/08/alt-product-266-1725059748261.webp
